shop_id,shop_url,star
125116968,http://www.dianping.com/shop/125116968,50
1926859,http://www.dianping.com/shop/1926859,50
124344623,http://www.dianping.com/shop/124344623,45
38216164,http://www.dianping.com/shop/38216164,50
95116741,http://www.dianping.com/shop/95116741,45
17182037,http://www.dianping.com/shop/17182037,50
122005614,http://www.dianping.com/shop/122005614,50
24004951,http://www.dianping.com/shop/24004951,50
103542174,http://www.dianping.com/shop/103542174,50
4017154,http://www.dianping.com/shop/4017154,50
124136437,http://www.dianping.com/shop/124136437,45
101919131,http://www.dianping.com/shop/101919131,50
94296766,http://www.dianping.com/shop/94296766,50
126108564,http://www.dianping.com/shop/126108564,50
101972950,http://www.dianping.com/shop/101972950,50
122833517,http://www.dianping.com/shop/122833517,50
122803063,http://www.dianping.com/shop/122803063,50
100944436,http://www.dianping.com/shop/100944436,50
111817710,http://www.dianping.com/shop/111817710,50
112224019,http://www.dianping.com/shop/112224019,50
112229048,http://www.dianping.com/shop/112229048,45
19612173,http://www.dianping.com/shop/19612173,50
108298313,http://www.dianping.com/shop/108298313,50
121819387,http://www.dianping.com/shop/121819387,40
108109598,http://www.dianping.com/shop/108109598,50
124297609,http://www.dianping.com/shop/124297609,50
21742003,http://www.dianping.com/shop/21742003,50
110519835,http://www.dianping.com/shop/110519835,50
23999832,http://www.dianping.com/shop/23999832,40
93365670,http://www.dianping.com/shop/93365670,50
102082993,http://www.dianping.com/shop/102082993,50
18615887,http://www.dianping.com/shop/18615887,50
83467055,http://www.dianping.com/shop/83467055,40
120076913,http://www.dianping.com/shop/120076913,50
15959175,http://www.dianping.com/shop/15959175,50
21649203,http://www.dianping.com/shop/21649203,45
68978238,http://www.dianping.com/shop/68978238,50
20916623,http://www.dianping.com/shop/20916623,50
112520353,http://www.dianping.com/shop/112520353,50
121934719,http://www.dianping.com/shop/121934719,45
16795494,http://www.dianping.com/shop/16795494,50
110112999,http://www.dianping.com/shop/110112999,50
18489851,http://www.dianping.com/shop/18489851,50
15857909,http://www.dianping.com/shop/15857909,50
95250552,http://www.dianping.com/shop/95250552,40
73498668,http://www.dianping.com/shop/73498668,50
112220298,http://www.dianping.com/shop/112220298,50
93378921,http://www.dianping.com/shop/93378921,50
21584102,http://www.dianping.com/shop/21584102,50
112615837,http://www.dianping.com/shop/112615837,45
76664560,http://www.dianping.com/shop/76664560,50
114471081,http://www.dianping.com/shop/114471081,50
92421259,http://www.dianping.com/shop/92421259,50
92529171,http://www.dianping.com/shop/92529171,50
6110204,http://www.dianping.com/shop/6110204,50
22369900,http://www.dianping.com/shop/22369900,50
120048431,http://www.dianping.com/shop/120048431,50
68003211,http://www.dianping.com/shop/68003211,50
9359347,http://www.dianping.com/shop/9359347,45
96573315,http://www.dianping.com/shop/96573315,50
4663146,http://www.dianping.com/shop/4663146,50
23100587,http://www.dianping.com/shop/23100587,50
97849102,http://www.dianping.com/shop/97849102,50
122798403,http://www.dianping.com/shop/122798403,50
